Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
AGR,Avangridnc.,$42.89 ,16582313268,307090,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd.,$1.24 ,19484859,88783,,
AGRO,Adecoagro S.A.,$7.54 ,825246870,926237,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeuticsnc.,$0.19 ,7643654,518582,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGSnc.,$5.11 ,192949364,176298,Consumer Discretionary,Recreational Games/Products/Toys
AGTI,Agilitinc.,$18.16 ,2421414321,762117,Health Care,Managed Health Care
AGX,Argannc.,$37.85 ,525516781,54982,Industrials,Oilfield Services/Equipment
AGYS,Agilysysnc.(DE),$63.43 ,1589839396,88105,Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp.,$21.65 ,2916940547,529716,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,$0.42 ,30028139,5217,Finance,Finance: Consumer Services
AHH,Armada Hoffler Propertiesnc.,$11.70 ,792439116,189116,Real Estate,Real Estatenvestment Trusts
AHI,Advanced Humanmaging Limited.,$0.38 ,9052109,155515,Consumer Discretionary,Package Goods/Cosmetics
AHPI,Allied Healthcare Productsnc.,$1.13 ,4515229,13742,Health Care,Industrial Specialties
AHRN,Ahren Acquisition Corp.,$10.19 ,382122453,135957,Consumer Staples,Farming/Seeds/Milling
AHT,Ashford Hospitality Trustnc,$6.09 ,210098867,284121,Real Estate,Real Estatenvestment Trusts
AI,C3.ainc. Class A,$11.99 ,1300693533,1338689,Technology,Computer Software: Prepackaged Software
AIF,Apollo Tacticalncome Fundnc.,$12.15 ,175737916,70393,Finance,Finance Companies
AIG,Americannternational Groupnc. New,$61.69 ,53147522530,3616127,Finance,Lifensurance
AIH,Aesthetic Medicalnternational Holdings Group Ltd.,$1.30 ,40811220,4141,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited,$0.92 ,39890113,26691,Finance,Finance: Consumer Services
AIKI,AIkido Pharmanc.,$3.42 ,18759028,73928,Health Care, Medicinal Chemicals and Botanical Products 
AIM,AIMmmunoTechnc.,$0.40 ,15772811,86989,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altrandustrial Motion Corp.,$59.41 ,3871716074,931636,Industrials,Industrial Machinery/Components
AIMD,Ainosnc.,$0.62 ,12407193,10970,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albanynternational Corporation,$102.38 ,3184018000,132362,Consumer Discretionary,Textiles
AINC,Ashfordnc. (Holding Company),$15.38 ,47894063,22103,Finance,Investment Managers
AIO,Virtus Artificialntelligence & Technology Opportunities Fund of Beneficialnterest,$16.91 ,580705837,130759,Finance,Finance/Investors Services
AIP,Arterisnc.,$4.09 ,136709056,74363,Technology,Semiconductors
AIR,AAR Corp.,$46.19 ,1635379306,128400,Industrials,Aerospace
AIRC,Apartmentncome REIT Corp.,$36.02 ,5400418122,1026108,Real Estate,Real Estatenvestment Trusts
AIRG,Airgainnc.,$7.43 ,75960872,19948,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Airndustries Group,$5.56 ,18053658,18825,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologiesnc.,$3.28 ,184245626,234432,Health Care,Hospital/Nursing Management
AIRT,Air Tnc.,$24.11 ,68551384,6082,Consumer Discretionary,Air Freight/Delivery Services
AIT,Appliedndustrial Technologiesnc.,$126.36 ,4873953118,153905,Industrials,Industrial Machinery/Components
AIU,Meta Data Limited ADS,$1.05 ,15288179,2604,Consumer Discretionary,Service to the Healthndustry
AIV,Apartmentnvestment and Management Company,$8.06 ,1222155363,795516,Real Estate,Real Estatenvestment Trusts
AIZ,Assurantnc.,$129.31 ,6831632084,583812,Finance,Specialtynsurers
AJG,Arthur J. Gallagher & Co.,$195.98 ,41320501396,562757,Finance,Specialtynsurers
AJRD,Aerojet Rocketdyne Holdingsnc.,$53.60 ,4316550147,793960,Industrials,Military/Government/Technical
AJX,Great Ajax Corp.,$7.56 ,173068313,63673,Real Estate,Real Estatenvestment Trusts
AKA,a.k.a. Brands Holding Corp.,$1.74 ,224139419,92414,Consumer Discretionary,Department/Specialty Retail Stores
AKAM,Akamai Technologiesnc.,$89.81 ,14121930245,1198187,Consumer Discretionary,Business Services
AKAN,Akanda Corp.,$0.19 ,6477313,279903,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeuticsnc.,$0.29 ,52429194,2378911,Health Care,Biotechnology: Pharmaceutical Preparations
AKIC,Sports Ventures Acquisition Corp.,$10.05 ,295570500,308,Finance,Business Services
AKLI,Akilinc.,$1.60 ,124653994,158609,Technology,Computer Software: Prepackaged Software
AKO/A,Embotelladora Andina S.A.,$9.52 ,,2256,,
AKO/B,Embotelladora Andina S.A.,$12.65 ,,35658,,
AKR,Acadia Realty Trust,$14.64 ,1390166322,406474,Real Estate,Real Estatenvestment Trusts
AKRO,Akero Therapeuticsnc.,$41.54 ,1942542746,504619,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologiesnc.,$3.57 ,205166140,230954,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,$0.54 ,32024813,18537,Health Care,Biotechnology: Pharmaceutical Preparations
AKU,Akuminnc.(DE),$1.03 ,92351358,55525,Health Care,Medical Specialities
AKYA,Akoya BioSciencesnc.,$12.31 ,467236600,49012,Industrials,Medical Specialities
AL,Air Lease Corporation Class A,$38.42 ,4260474367,500359,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation,$257.99 ,30224249324,1775729,Industrials,Industrial Specialties
ALBO,Albireo Pharmanc.,$22.05 ,456463290,125484,Health Care,Biotechnology: Pharmaceutical Preparations
ALBT,Avalon GloboCare Corp.,$0.35 ,35424487,17551,Real Estate,Building operators
ALC,Alconnc. Ordinary Shares,$67.12 ,32894638165,950039,Health Care,Ophthalmic Goods
ALCC,AltC Acquisition Corp. Class A,$9.93 ,635023500,55127,Industrials,Consumer Electronics/Appliances
ALCO,Aliconc.,$26.35 ,199917318,183359,,
ALDX,Aldeyra Therapeuticsnc.,$6.20 ,363072484,528268,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Alletenc.,$64.99 ,3714950451,307392,Utilities,Power Generation
ALEC,Alectornc.,$9.27 ,766643267,700795,Health Care,Biotechnology: Pharmaceutical Preparations
ALEX,Alexander & Baldwinnc.REIT Holding Company,$19.13 ,1387771216,186804,Real Estate,Real Estatenvestment Trusts
ALG,Alamo Groupnc.,$147.06 ,1759752754,44238,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystemsnc.,$31.84 ,6091251209,1595268,Technology,Semiconductors
ALGN,Align Technologync.,$186.04 ,14532021780,708647,Health Care,Industrial Specialties
ALGS,Aligos Therapeuticsnc.,$0.90 ,38555441,113229,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company,$76.14 ,1400867044,212692,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcarenc.,$12.19 ,2282711358,569476,Health Care,Medical Specialities
ALIM,Alimera Sciencesnc.,$3.30 ,23127991,16133,Health Care,Biotechnology: Pharmaceutical Preparations
ALIT,Alightnc. Class A,$8.66 ,4073964173,1786486,Technology,EDP Services
ALK,Alaska Air Groupnc.,$46.30 ,5872591575,1292165,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,$25.00 ,4107808900,822757,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technologync.,$12.84 ,1174577481,256313,Technology,EDP Services
ALL,Allstate Corporation,$130.31 ,34559459588,1464850,Finance,Property-Casualtynsurers
ALLE,Allegion plc Ordinary Shares,$109.17 ,9590019218,423399,Consumer Discretionary,Diversified Commercial Services
ALLG,Allego N.V. Ordinary Share,$2.85 ,757651533,251767,Consumer Discretionary,Other Specialty Stores
ALLK,Allakosnc.,$7.95 ,677368596,645648,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeuticsnc.,$8.79 ,1267607254,1168656,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeuticsnc.,$0.48 ,4924875,29811,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,$3.50 ,130676434,83234,Telecommunications,Telecommunications Equipment
ALLY,Ally Financialnc.,$25.36 ,7573685384,6197503,Finance,Diversified Financial Services
ALNY,Alnylam Pharmaceuticalsnc.,$219.64 ,27021921316,425412,Health Care,Biotechnology: Pharmaceutical Preparations
ALOR,ALSP Orchid Acquisition Corporation Class A Ordinary Share,$10.23 ,229832438,406250,Finance,Business Services
ALOT,AstroNovanc.,$11.75 ,86324407,25119,Technology,Computer peripheral equipment
ALPA,Alpha Healthcare Acquisition Corp.II Class A,$9.88 ,195317829,37428,Industrials,Consumer Electronics/Appliances
